,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
84,1304047,1,13,3,MS Dhoni,Shivam Mavi,RA Jadeja,,2,0,2,0,0,,,,Chennai Super Kings
85,1304047,1,13,4,MS Dhoni,Shivam Mavi,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
86,1304047,1,13,5,MS Dhoni,Shivam Mavi,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
87,1304047,1,13,6,RA Jadeja,Shivam Mavi,MS Dhoni,,0,0,0,0,0,,,,Chennai Super Kings
88,1304047,1,14,1,MS Dhoni,SP Narine,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
89,1304047,1,14,2,MS Dhoni,SP Narine,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
90,1304047,1,14,3,RA Jadeja,SP Narine,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
91,1304047,1,14,4,MS Dhoni,SP Narine,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
92,1304047,1,14,5,MS Dhoni,SP Narine,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
93,1304047,1,14,6,RA Jadeja,SP Narine,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
94,1304047,1,15,1,RA Jadeja,UT Yadav,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
95,1304047,1,15,2,MS Dhoni,UT Yadav,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
96,1304047,1,15,3,MS Dhoni,UT Yadav,RA Jadeja,,4,0,4,0,0,,,,Chennai Super Kings
97,1304047,1,15,4,MS Dhoni,UT Yadav,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
98,1304047,1,15,5,RA Jadeja,UT Yadav,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
99,1304047,1,15,6,MS Dhoni,UT Yadav,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
100,1304047,1,16,1,MS Dhoni,SP Narine,RA Jadeja,,0,0,0,0,0,,,,Chennai Super Kings
101,1304047,1,16,2,MS Dhoni,SP Narine,RA Jadeja,,1,0,1,0,0,,,,Chennai Super Kings
102,1304047,1,16,3,RA Jadeja,SP Narine,MS Dhoni,,1,0,1,0,0,,,,Chennai Super Kings
